title;newTitle;author;newAuthor
WHAT IS ENLIGHTENMENT?;What is Enlightenment?;IMMANUEL KANT;Immanuel Kant
THE HUMAN MIND EMERGED FROM BARBARISM;The Human Mind Emerged From Barbarism;JEAN LE ROND D’ALEMBERT;Jean le Rond D’Alembert
“ENCYLOPÉDIE”;“Encylopédie”;DENIS DIDEROT;Denis Diderot
DEFINITION OF A PHILOSOPHE;Definition of a Philosophe;CESAR CHESNEAU DUMARSAIS;Cesar Chesneau Dumarsais
LE MARIAGE DE FIGARO;Le Mariage de Figaro;PIERRE AUGUSTIN CARON DE BEAUMARCHAIS;Pierre Augustin Caron de Beaumarchais
THE FUTURE PROGRESS OF THE HUMAN MIND;The Future Progress of the Human Mind;MARQUIS DE CONDORCET;Marquis de Condorcet
THE NEW SCIENCE;The New Science;FRANCIS BACON;Francis bacon
MATHEMATICAL PRINCIPLES OF NATURAL PHILOSOPHY;Mathematical Principles of Natural Philosophy;ISAAC NEWTON;Isaac Newton
THE FAIR SEX;The Fair Sex;IMMANUEL KANT;Immanuel Kant
WOMEN, ADORED AND OPPRESSED;Women, Adored and Oppressed;THOMAS PAINE (ATTR.);Thomas Paine (attr.)
WOMEN’S EDUCATION;Women’s Education;CATHERINE SAWBRIDGE MACAULAY GRAHAM;Catherine Sawbridge Macaulay Graham
ON THE EQUALITY OF THE SEXES;On the Equality of the Sexes;CONSTANTIA;Constantia
THE RIGHTS OF WOMAN;The Rights of Woman;OLYMPE DE GOUGES;Olympe de Gouges
VINDICATION OF THE RIGHTS OF WOMAN;Vindication of the Rights of Woman;MARY WOLLSTONECRAFT;Mary Wollstonecraft
“NEGROES ... NATURALLY INFERIOR TO THE WHITES...”;“Negroes ... naturally inferior to the whites...”;DAVID HUME;David Hume
CONSIDERATIONS ON THE KEEPING OF NEGROES;Considerations on the Keeping of Negroes;JOHN WOOLMAN;John Woolman
THE DIFFERENCE BETWEEN THE RACES;The Difference Between the Races;IMMANUEL KANT;Immanuel Kant
THE NEW PHYSICS;The New Physics;ROGER COTES;Roger Cotes
“WHO ARE YOU, THEN, TO MAKE SLAVES ...”;“Who are you, then, to make slaves ...”;DENIS DIDEROT;Denis Diderot
“BESTIAL MANNERS, STUPIDITY, AND VICES ...”;“Bestial manners, stupidity, and vices ...”;JAMES LONG;James Long
AFRICAN SLAVERY IN AMERICA;African Slavery in America;THOMAS PAINE;Thomas Paine
OF EMPIRES AND SAVAGES;Of Empires and Savages;EDWARD GIBBON;Edward Gibbon
ON INDIANS AND NEGROES;On Indians and Negroes;THOMAS JEFFERSON;Thomas Jefferson
“NEGRO”;“Negro”;ENCYCLOPAEDIA BRITANNICA;Encyclopaedia Britannica
THE END OF EMPIRE;The End of Empire;JOSEPH PRIESTLEY;Joseph Priestley
ON BACON AND NEWTON;On Bacon and Newton;FRANCOIS-MARIE AROUET DE VOLTAIRE;Francois-Marie Arouet de Voltaire
THE RAT;The Rat;COMTE DE BUFFON;Comte de Buffon
THE UTILITY OF SCIENCE;The Utility of Science;MARQUIS DE CONDORCET;Marquis de Condorcet
THE ORGANIZATION OF SCIENTIFIC RESEARCH;The Organization of Scientific Research;JOSEPH PRIESTLEY;Joseph Priestley
LETTER TO JOSEPH PRIESTLEY;Letter to Joseph Priestley;BENJAMIN FRANKLIN;Benjamin Franklin
ON SUPERSTITION AND TOLERANCE;On Superstition and Tolerance;PIERRE BAYLE;Pierre Bayle
A LETTER CONCERNING TOLERATION;A Letter Concerning Toleration;JOHN LOCKE;John Locke
ON ENTHUSIASM;On Enthusiasm;EARL OF SHAFTSBURY;Earl of Shaftsbury
